gene,pval,pval_adj,logfoldchanges,cluster
FTL,0.00015112012037160592,0.0023871040744100204,-2.6842625,1
MT1M,6.0681048627022694e-05,0.0011202655131142651,-23.57203,1
PLA2G2A,6.0681048627022694e-05,0.0011202655131142651,-23.57203,1
EGR1,0.00010362951787797592,0.0017271586312995987,-2.027952,1
KCTD12,5.453486025159073e-05,0.0010387592428874426,-23.743074,1
CD36,4.25143224431293e-05,0.0008228578537379864,-23.896196,1
TNFAIP2,3.559238254403222e-05,0.0007001780172596502,-23.660051,1
HEMGN,3.438945002264076e-05,0.0006877890004528152,-24.099512,1
HES4,3.0566409834723353e-05,0.0006216896915536953,-24.03482,1
RND1,2.2548820579198424e-05,0.000474712012193651,-24.220926,1
MPEG1,2.0898466399635478e-05,0.00044782427999218876,-23.743074,1
IGSF6,2.0898466399635478e-05,0.00044782427999218876,-23.743074,1
LIMS1,2.3544296483490557e-05,0.00048712337552049426,-1.6182148,1
UROS,2.028521977171608e-05,0.00044782427999218876,-2.2514875,1
PHACTR1,7.2234567581531745e-06,0.0001733629621956762,-23.896196,1
CES1,7.2234567581531745e-06,0.0001733629621956762,-23.896196,1
KLRF1,7.2234567581531745e-06,0.0001733629621956762,-23.896196,1
RNASE6,5.335237466659574e-06,0.00013918010782590194,-24.161472,1
ACTG1,1.2425982747267398e-05,0.0002813430055985071,-3.2788053,1
NCF2,3.173978749291435e-06,8.656305679885732e-05,-24.220926,1
TUBB,9.263111553165462e-06,0.0002137641127653568,-1.375716,1
CMTM8,6.715377261072404e-06,0.00017145644070823158,-2.7572277,1
PHGDH,2.3858443041136895e-06,6.816698011753398e-05,-24.33308,1
PA2G4,8.17728209308769e-06,0.00019240663748441622,-1.452565,1
HVCN1,1.8878688302219008e-06,5.525469746990929e-05,-24.27807,1
NME4,4.172943606085537e-06,0.000111278496162281,-2.7812638,1
FGFBP2,1.3637937046404857e-06,4.091381113921457e-05,-24.220926,1
SPI1,8.061256074482263e-07,2.5456598129943986e-05,-24.27807,1
CCR7,2.758529644005566e-06,7.698222262341115e-05,-1.9824408,1
HIST1H2AG,5.125741289883571e-07,1.6624025805027798e-05,-24.220926,1
PTCH2,3.0231198225778585e-07,1.0364982248838372e-05,-24.27807,1
TPM2,2.817671858548893e-07,9.944724206643153e-06,-24.386108,1
MOB3C,2.3582359473743873e-07,8.843384802653952e-06,-24.486765,1
PASK,4.953344057974523e-07,1.651114685991508e-05,-2.1724818,1
FGR,3.445079964463111e-08,1.3780319857852443e-06,-24.580997,1
HNRNPA1,2.43524494326309e-07,8.855436157320327e-06,-2.9879582,1
CD52,1.029191466873105e-07,3.9839669685410515e-06,-3.89737,1
LXN,6.138221478364079e-09,2.539953715185136e-07,-24.793257,1
S100A12,4.210880001067028e-09,1.8715022226964568e-07,-24.753166,1
CD14,8.696434976692127e-10,4.348217488346064e-08,-24.870329,1
LMO7,7.590435759642236e-10,3.9948678197103024e-08,-24.943602,1
HMBS,5.403728451944572e-10,3.087844829682612e-08,-24.832293,1
PDLIM1,4.843542615614809e-10,2.9061255693688852e-08,-25.080149,1
MAP2K2,3.977682711818596e-09,1.8358535593008903e-07,-2.759872,1
AP1S2,4.578378348235689e-09,1.9621621492438664e-07,-2.492436,1
FOSB,7.656829987778079e-10,3.9948678197103024e-08,-2.2354267,1
S100A9,1.544522449068186e-09,7.413707755527292e-08,-2.0956337,1
MMD,6.772873527083418e-12,5.079655145312563e-10,-25.234964,1
ALAD,4.479220186571344e-12,3.583376149257075e-10,-25.205256,1
S100A8,3.68927283022988e-11,2.6041925860446213e-09,-2.5825195,1
NPM1,1.838920280878456e-10,1.1614233352916564e-08,-3.3249116,1
YBX1,1.2892366418377327e-10,8.594910945584885e-09,-2.272724,1
ST6GALNAC4,4.870800785771035e-13,4.870800785771035e-11,-25.37528,1
ARV1,1.9487236969520883e-13,2.1258803966750054e-11,-25.320715,1
CHI3L2,9.362540933125904e-14,1.1235049119751086e-11,-26.037664,1
HLA-DMB,9.032521885746168e-14,1.1235049119751086e-11,-25.644508,1
IER2,7.352566986724248e-13,6.786984910822383e-11,-2.65153,1
PLAC8,1.665436498396873e-12,1.427516998625891e-10,-2.5289419,1
JUND,6.682020370705056e-14,1.0023030556057584e-11,-2.2873607,1
VSIG1,5.450119693563745e-16,1.090023938712749e-13,-25.644508,1
UBAC1,2.04311049834783e-17,4.9034651960347915e-15,-25.814077,1
LYZ,4.010453185884444e-18,1.203135955765333e-15,-3.2688334,1
AIF1,6.0128731783931475e-24,2.405149271357259e-21,-4.4596,1
SELL,3.7476810652235105e-33,2.2486086391341062e-30,-4.3250256,1
LTB,4.806130417051424e-40,5.767356500461709e-37,-7.591656,1
CXCR4,3.1882405145044006e-14,7.651777234810562e-12,12.785634,2
SRGN,4.01240582740455e-05,0.0011197411611361533,4.8179116,2
ZFP36,0.00014340181162022432,0.0033092725758513304,4.0406704,2
RGS1,0.002677184713903172,0.032781853639630675,5.323537,2
HMGA1,0.004140441759637164,0.049685301115645966,-1.1308354,2
